Run Number,Execution Time (s),Summary
1,4.59540319442749,"2 failed, 414 passed in 4.36s"
2,4.414294004440308,"2 failed, 414 passed in 4.29s"
3,4.4089272022247314,"2 failed, 414 passed in 4.28s"
4,4.40798807144165,"2 failed, 414 passed in 4.28s"
5,4.413578987121582,"2 failed, 414 passed in 4.29s"
6,4.416973829269409,"2 failed, 414 passed in 4.29s"
7,4.421576976776123,"2 failed, 414 passed in 4.29s"
8,4.5889081954956055,"2 failed, 414 passed in 4.46s"
9,4.694412708282471,"2 failed, 414 passed in 4.56s"
10,4.588663101196289,"2 failed, 414 passed in 4.46s"
