commit,sev_high,sev_med,sev_low,conf_high,conf_med,conf_low,cwe
14233c0176f6bc0576e6a4ce4bb63e34f16cbc18,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
b37230c09f29aea04799ed4a833f91ccf779a186,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
c33c8bc248253b265ade2c944a37600bf551554f,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
b2887eb25699d3b8bca2181e82257a36956ba4de,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
cd67cf3bea4749e4e57fda2575f3f644b8b56d34,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
b7fb17e53ff5cc93cfec425327459aabc316dc67,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
a2e17c4c885e0360168e904b8347b78ad7afe3f4,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
4ead6ecc39070f9d25075f9babf6ce63334dea45,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
704704db6c13c59e9339b92771090ce8318d18ef,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
de062f0552a810c52077543c1169c38c1f0c53fc,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
e9dae36f69f37096c163613f5a7c5e00136318a4,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
5ef1a6cc88e35a682be2e2003e03cd08d40d2984,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
235df2d2804c70a427c8c06c3f300d45484bbb95,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
a7cb715a7f9242c60bcd0c4db361543e48ff2d9e,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
339e9dc3914e4ed837f2c9b24972e211334025ec,3,26,2918,2941,4,2,"20,502,78,22,732,330,89,259,400,703"
3a4e74a9ace62ecd5c9cde7dcb6bcabd65cc7857,3,26,2902,2925,4,2,"20,502,78,22,732,330,89,259,400,703"
6fa8fb3b8596eb67dba663e126501634bbbea2c4,3,26,2897,2920,4,2,"20,502,78,22,732,330,89,259,400,703"
c2b73030f6796440c672599899c1a3fa86358d99,3,26,2896,2919,4,2,"20,502,78,22,732,330,89,259,400,703"
fb91fd3c9ea91a818681a777faf8d0c46f14c680,3,26,2881,2904,4,2,"20,502,78,22,732,330,89,259,400,703"
75e61d139f0c1b63fb070e4df6befa7095377e74,3,26,2881,2904,4,2,"20,502,78,22,732,330,89,259,400,703"
7a1a84b5ea3a1fbe67884b339a7a081ce450f824,3,26,2881,2904,4,2,"20,502,78,22,732,330,89,259,400,703"
9e886874a145f88b7ad73abccd7e243ebb34fdbf,3,26,2881,2904,4,2,"20,502,78,22,732,330,89,259,400,703"
6457be66e2ef88411281eddc4e7698866a3977f1,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
caa705e8bf4bedf1a956f48b545283b2ca14170a,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
ccccf10dcc0e0a8f3ce809b22cbd8dfdaa6cb394,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
6c6a82a573f946c4a81069f56446caed15cee9c2,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
7298e5af6f444b5bdb59ebe0e6f59e761158ab19,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
d0c152a979d91cc34b605c0298aebc650ab7dd27,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
3924b7d84b847c40a0ef22a357d5ed7f0192cd38,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
8017790ae4e54203d7374ce4c2726708371cde46,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
fdda5585ab18ea1292547f36c969d12c408ab842,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
fba47587a4f1771ad9f934a5e66f0860231405cd,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
8983782529101c1d9b526716dc68fbf3103a4f0e,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
661d7bac29689e2d9eb74fba3d243939d6e9f25b,3,26,2879,2902,4,2,"20,502,78,22,732,330,89,259,400,703"
b60ebb83cd668decaa21df66148beb44bce57739,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
c9d3450d4a87de629f4b535650dceed74b499736,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
38d648e23cceb6b898813828b4b5370afea64119,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
c8252f279934675c5ad624774c0d9c7af49225dc,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
06c3235a640d00bf59223ebabf3cb489a2891767,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
17f17b3fe7f276e1b019cca8aa651bf7c818a928,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
2049c00921c59cdeb835137a1c49639cf175af07,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
01f91bae037c98f2e05456287bab21470adb8f07,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
d37ed46ebf45981131bd3678173dbb4b7e2b2f1a,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
c4e2604fdd1e00a4de67ed3046524c91eb30ef89,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
dfb52e203c153dbb0c227ae8fb42fe3315f4864f,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
f8e332104dd4827da559a39d06d7849b9ed3f77d,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
46e46168e092ccfcb9f6a46b77bf7813d868262b,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
b08f7629dd61daf13a1797e39be75dd3a3a9cb94,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
1946182ab6547e4fca4a2e3814d362b1776412cd,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
f75f48926773f39798b85b6b5499e84c5e9e53b1,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
ff0149f3473078e5e287576a1c3a033081f5caa9,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
444ce8382f0cd54ad2478146923a68f3e737933d,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
a9c610f5c76be615e1e787c3da615c64486d3a7b,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
91e9313a727fa3bd56a72dc6f035c6ed86d9d1e2,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
65f6eb54aa0e8bb44cea35deea28e0e8fecc25b9,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
8413aac1c3759d3b931cfa39736f3f09be957867,3,26,2869,2892,4,2,"20,502,78,22,732,330,89,259,400,703"
8235fdb7ef9f37255bd3de92807874d9e8f362a3,3,26,2869,2892,4,2,"20,502,78,22,732,330,89,259,400,703"
80d6b48813749a64c2fa384631402562057acbe1,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
80061e03f2cfd9bb1ceed3a701a89b477c9a9c3c,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
13c2d443b51d6f6e7e413c4fc38b8aca529e2d02,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
a953002116c9ba1ce477e7279d5c2ae2c27b5223,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
97e5e179b5b1d617b8a5a4b31a316bde4eca79bf,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
1f4196f1b485e3144f2197b6fe654cb4548bfa4a,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
59738d77689a8374578fb3c90ce4fdf0e7272587,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
d4422cc24a56dc7132ddc3fd6b285c5edbd60b8c,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
6e8635d91c0d5a1b83db28afa54b7193ba9fec19,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
16a121d7821a7691815a966270f577e2c503473f,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
afe875a8068a6b1971b309463cc304086c438cbf,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
3822805859891d8063c8778b0f54535da5a6eefb,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
74b0dd32cd55360c2d1d29f5afaa68e0cf5cf086,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
