commit,sev_high,sev_med,sev_low,conf_high,conf_med,conf_low,cwe
5cdad8922c83b0ed49a0173cd1a8b0739acbb336,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
de62f93c210aaaffd710f9afe3b43ab624f7a21b,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
c568972d597ee2fa14525a739d8acb284fc19c87,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
6420a1db87460d36fd2141a65659093df27c1996,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
86fd1ab270cb2f7e53ee7412cd4a0650bf4bcc51,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
6981c2742af9030d7f30c0dc3f5c0bcf32588339,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
f003c3df9ec2b7dd8825edf21c775c95f1f45a2b,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
915ce21ebc558b74ffc5e4c288f7f6cd4482c2b1,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
0797106a98d18a145d46e57c44147fc2d5afd7a0,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
e62a31b601641c5b967226b6b4c44aaee23f99ae,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
882c35fc43a4d7175ff24e8e20b0ec0636d75f49,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
4c904ac7f91c3fa2a4aaf3c58cd2bca39cdf7195,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
81ac034a862ff56e64dc525d041d78d168904799,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
b968b2d70ca1e752fb19bde0c5fde5049e96afb8,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
7a5722738c6fa0d3d129172a8f0ff11b74c96302,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
1435a8eed6b16d125e7808c81969a0c879d6b8a0,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
3760e0ed93515108fdf6b1c240aaba9272e8cb89,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
15c40626f5fb1ca58f213e82b7dd429b4e5aa370,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
795b7415425cc3d8e0e4ec361c182707158c96ea,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
d4e4c351815b49c2baadb561de8d42a84d43e365,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
2f74455adc74a587c9e9d5a6e45df880fce8ea3e,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
24ee28010fbf597ec796e6e471429cde21040f90,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
bcd88eaf595f0e7275bad7da542b37d42ab111d3,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
79b7336f0dcf2916ca0d81cefd4e64085214b608,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
94a6245617adf3df848e4879458f29208c50fa1f,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
abdfbd68d1c1fe58b6f5c7d258f1433d40894254,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
a3555241574a08e35b5f3b0138c09802ec4ed28a,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
6629839d5f51099c46a51dc2854901a4174cecc8,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
ce15409721762b0549834a943d3bcacd44a8c1a3,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
907bef2f63771a352346d0b4f068946d7f961f0c,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
b163ff8d257fe4bff0322a1379decacbf71bb0c1,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
c5bb4087aa8bb7d0289cc558821fbe260aa33fa8,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
f7322921acec565c1296a47305db6de3b5a593f7,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
12b577c8d33d3a36e954cb3a9eca5fa55428563c,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
4d39325f8a5b3e226774f952c58de3a3f161d583,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
f44db0100518c65023095a47e71518c12aa1db90,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
e8a30cf820b273afbbf1c73a3f1088471a84fade,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
c5ffbbf1c3f69c8e7acf2ec5106fb8edad33c3de,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
b40781b3e356f27c89270e3d1b4e182c9ee0664f,12,31,213,249,3,4,"377,20,330,22,78,605,400,502,703"
