Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
jmh,io.reactivex.rxjava3.parallel,ParallelPerf,31.0,26.0,4.0,4.0,0.9107142857142857,0.4444444444444444
jmh,io.reactivex.rxjava3.core,TakeUntilPerf,20.0,12.0,3.0,3.0,0.75,0.375
jmh,io.reactivex.rxjava3.core,BinaryFlatMapPerf,390.0,374.0,13.0,13.0,0.9663865546218487,0.4482758620689655
jmh,io.reactivex.rxjava3.core,FlattenJustPerf,8.0,6.0,3.0,3.0,0.8333333333333333,0.6
jmh,io.reactivex.rxjava3.core,PerfObserver,6.0,2.0,2.0,2.0,0.625,0.4
jmh,io.reactivex.rxjava3.core,XMapYPerf,1802.0,1774.0,33.0,33.0,0.9839080459770115,0.5409836065573771
jmh,io.reactivex.rxjava3.core,RangePerf,2.0,0.0,1.0,1.0,0.5833333333333334,0.0
jmh,io.reactivex.rxjava3.core,BlockingPerf,4.0,0.0,1.0,1.0,0.6666666666666666,0.0
jmh,io.reactivex.rxjava3.core,FlowableFlatMapCompletableSyncPerf,1.0,0.0,1.0,1.0,0.75,0.0
jmh,io.reactivex.rxjava3.core,ObservableFlatMapPerf,2.0,1.0,2.0,2.0,0.75,0.6666666666666666
jmh,io.reactivex.rxjava3.core,FlattenRangePerf,8.0,6.0,3.0,3.0,0.8333333333333333,0.6
jmh,io.reactivex.rxjava3.core,StrictPerf,31.0,0.0,5.0,5.0,0.8452380952380952,0.23076923076923078
jmh,io.reactivex.rxjava3.core,InternalConsumer,4.0,0.0,2.0,2.0,0.5,0.4
jmh,io.reactivex.rxjava3.core,ExternalConsumer,4.0,0.0,2.0,2.0,0.5,0.4
jmh,io.reactivex.rxjava3.core,RxVsStreamPerf,44.0,33.0,3.0,3.0,0.9,0.2727272727272727
jmh,io.reactivex.rxjava3.core,MemoryPerf,2345.0,2344.0,69.0,66.0,1.0,0.9420289855072463
jmh,io.reactivex.rxjava3.core,MyRx2Subscriber,6.0,6.0,4.0,4.0,1.0,1.0
jmh,io.reactivex.rxjava3.core,MyRx2Observer,10.0,10.0,5.0,5.0,1.0,1.0
jmh,io.reactivex.rxjava3.core,PerfConsumer,15.0,9.0,4.0,4.0,0.5,0.5714285714285714
jmh,io.reactivex.rxjava3.core,PublishProcessorPerf,27.0,9.0,1.0,1.0,0.6666666666666666,0.0
jmh,io.reactivex.rxjava3.core,InputWithIncrementingInteger,80.0,69.0,9.0,8.0,0.9340659340659341,0.5
jmh,io.reactivex.rxjava3.core,DefaultSubscriberImpl,3.0,0.0,3.0,3.0,0.0,1.0
jmh,io.reactivex.rxjava3.core,IncrementingIterable,8.0,6.0,3.0,3.0,0.75,0.6
jmh,io.reactivex.rxjava3.core,IncrementingIterator,2.0,1.0,2.0,2.0,0.5,0.6666666666666666
jmh,io.reactivex.rxjava3.core,IncrementingPublisher,0.0,0.0,1.0,1.0,-0.0,0.0
jmh,io.reactivex.rxjava3.core,PerfAsyncConsumer,22.0,16.0,5.0,5.0,0.5714285714285714,0.625
jmh,io.reactivex.rxjava3.core,OperatorFlatMapPerf,20.0,19.0,6.0,6.0,0.8333333333333334,0.8571428571428571
jmh,io.reactivex.rxjava3.core,Input,0.0,0.0,1.0,1.0,0.0,0.0
jmh,io.reactivex.rxjava3.core,PerfInteropConsumer,15.0,9.0,4.0,4.0,0.5,0.5714285714285714
